TOA5,CR6Series,CR6,3767,51073,3767
TIMESTAMP,RECORD,AirTC_Avg,RH,PotSlrW_Avg,WS_ms_S_WVT
TS,RN,Deg C,%,W/m^2,meters/second
,,Avg,Smp,Avg,WVc
7/13/2018 12:00,0,27.68,57.88,-360.5,0.442
7/13/2018 13:00,1,28.57,49.01,-488.9,0.49
7/13/2018 14:00,2,28.93,47.5,-603.1,0.842
7/13/2018 15:00,3,28.72,47.72,-654.1,0.774
7/13/2018 16:00,4,29.77,45.55,-638.4,0.737
7/13/2018 17:00,5,30.3,41.6,-557.1,0.561
7/13/2018 18:00,6,30.55,48.34,-415.7,0.339
7/13/2018 19:00,7,29.43,54.84,-223.5,0.391
7/13/2018 20:00,8,28.43,62.95,10.19,0.026
7/13/2018 21:00,9,25.48,68.35,257.6,0.504
7/13/2018 22:00,10,24.1,67.27,511.9,0.951
7/13/2018 23:00,11,23.41,70.05,754.2,0.934
7/14/2018 0:00,12,22.8,70.38,967,0.858
7/14/2018 1:00,13,22.47,71.15,1137,0.669
7/14/2018 2:00,14,22.01,75.54,1251,0.439
7/14/2018 3:00,15,21.39,77.8,1302,0.496
7/14/2018 4:00,16,21.13,79.35,1286,0.533
7/14/2018 5:00,17,21.02,79.61,1204,0.522
7/14/2018 6:00,18,20.43,83,1063,0.335
7/14/2018 7:00,19,20.2,80.4,871,0.102
7/14/2018 8:00,20,21.31,77.04,642.1,0
7/14/2018 9:00,21,23.08,76.05,391.6,0.308
7/14/2018 10:00,22,25.38,64.31,138.6,0.605
7/14/2018 11:00,23,26.38,62.24,-105.2,1.139
7/14/2018 12:00,24,27.34,57.4,-321.6,1.132
7/14/2018 13:00,25,28.35,57.97,-491.6,1.084
7/14/2018 14:00,26,29.12,54.43,-606.1,1.091
7/14/2018 15:00,27,29.57,60.44,-657.3,0.826
7/14/2018 16:00,28,29.55,53.03,-641.7,1.018
7/14/2018 17:00,29,29.71,57.45,-560.4,0.808
7/14/2018 18:00,30,30.07,54.25,-418.9,0.851
7/14/2018 19:00,31,30.35,54.52,-226.6,0.724
7/14/2018 20:00,32,29.86,56.7,7.223,0.42
7/14/2018 21:00,33,28.03,67.25,254.9,0.39
7/14/2018 22:00,34,25.59,76.51,509.5,0.705
7/14/2018 23:00,35,24.83,77.09,752.1,0.389
7/15/2018 0:00,36,23.96,75.31,966,0.769
7/15/2018 1:00,37,23.72,78.9,1135,0.578
7/15/2018 2:00,38,23.55,81.9,1249,0.081
7/15/2018 3:00,39,22.96,83.9,1300,0.083
7/15/2018 4:00,40,22.53,86.8,1285,0.127
7/15/2018 5:00,41,22.38,84.5,1203,0.123
7/15/2018 6:00,42,22.3,84.8,1062,0.005
7/15/2018 7:00,43,22.18,86.8,870,0.009
7/15/2018 8:00,44,22.45,87.6,640.7,0.006
7/15/2018 9:00,45,23.41,78.81,389.9,0.182
7/15/2018 10:00,46,24.52,73.05,136.7,0.309
7/15/2018 11:00,47,25.26,75.26,-107.6,0.597
7/15/2018 12:00,48,26.35,69.2,-324.2,0.678
7/15/2018 13:00,49,27.97,74.32,-494.5,0.717
7/15/2018 14:00,50,28.73,66.59,-609.2,0.833
7/15/2018 15:00,51,29.61,69.46,-660.5,0.804
7/15/2018 16:00,52,25.35,95.4,-645.1,1.419
7/15/2018 17:00,53,20.75,98.6,-563.8,0.602
7/15/2018 18:00,54,21.66,97.2,-422.3,0.42
7/15/2018 19:00,55,22.63,96.1,-229.8,0.338
7/15/2018 20:00,56,23.25,98.2,4.173,0.1
7/15/2018 21:00,57,22.57,95.7,252.1,0.525
7/15/2018 22:00,58,21.61,91.3,507,0.581
7/15/2018 23:00,59,21.06,90.8,749.9,0.232
7/16/2018 0:00,60,20.77,90.9,964,0.282
7/16/2018 1:00,61,20.42,90.2,1134,0.239
7/16/2018 2:00,62,20.25,92,1248,0.269
7/16/2018 3:00,63,19.81,91.8,1299,0.165
7/16/2018 4:00,64,19.8,88.6,1284,0.429
7/16/2018 5:00,65,19.98,88.8,1202,0.432
7/16/2018 6:00,66,19.88,87.2,1061,0.195
7/16/2018 7:00,67,20.1,84.7,869,0.028
7/16/2018 8:00,68,21.35,84,639.1,0.059
7/16/2018 9:00,69,23.88,75.05,388.1,0.211
7/16/2018 10:00,70,25.79,73.73,134.7,0.342
7/16/2018 11:00,71,26.89,71.41,-110.1,0.695
7/16/2018 12:00,72,27.92,73.34,-326.9,0.878
7/16/2018 13:00,73,28.75,58.27,-497.5,0.943
7/16/2018 14:00,74,29.47,57.73,-612.4,0.823
7/16/2018 15:00,75,30.09,51.31,-663.9,0.578
7/16/2018 16:00,76,30.65,55.49,-648.5,0.831
7/16/2018 17:00,77,30.84,58.36,-567.3,0.775
7/16/2018 18:00,78,28.17,75.5,-425.7,1.366
7/16/2018 19:00,79,24.85,74.58,-233.1,0.877
7/16/2018 20:00,80,25.43,77.05,1.063,0.643
7/16/2018 21:00,81,23.68,82.7,249.4,0.296
7/16/2018 22:00,82,22.53,85.7,504.5,0.429
7/16/2018 23:00,83,22.22,88.7,747.7,0.144
7/17/2018 0:00,84,21.85,87.2,962,0.32
7/17/2018 1:00,85,21.82,89.9,1132,0.076
7/17/2018 2:00,86,21.38,89.3,1247,0.257
7/17/2018 3:00,87,21.4,89,1298,0.047
7/17/2018 4:00,88,21.5,88.9,1282,0.171
7/17/2018 5:00,89,21.35,90.8,1201,0.16
7/17/2018 6:00,90,21.45,90.6,1059,0.093
7/17/2018 7:00,91,21.76,93.7,867,0.11
7/17/2018 8:00,92,21.73,94.7,637.5,0.088
7/17/2018 9:00,93,21.69,98.4,386.2,0.495
7/17/2018 10:00,94,22.04,97.8,132.5,0.916
7/17/2018 11:00,95,22.54,93.5,-112.8,1.135
7/17/2018 12:00,96,23.51,89.8,-329.8,1.192
7/17/2018 13:00,97,25.48,82.9,-500.6,1.354
7/17/2018 14:00,98,25.93,78.57,-615.8,0.761
7/17/2018 15:00,99,27.72,73.04,-667.4,1.259
7/17/2018 16:00,100,28.4,56.98,-652.1,1.34
7/17/2018 17:00,101,28.51,58.48,-570.9,1.505
7/17/2018 18:00,102,28.14,55.55,-429.2,1.708
7/17/2018 19:00,103,27.47,55.38,-236.5,1.423
7/17/2018 20:00,104,25.79,56.33,-2.113,1.213
