"","Date","p_sum"
"1",2018-07-13,0
"2",2018-07-14,0
"3",2018-07-15,5.334
"4",2018-07-16,0
"5",2018-07-17,0.762
"6",2018-07-18,0
"7",2018-07-19,0
"8",2018-07-20,10.16
"9",2018-07-21,5.334
"10",2018-07-22,7.366
"11",2018-07-23,0
"12",2018-07-24,3.556
"13",2018-07-25,6.858
"14",2018-07-26,0.508
"15",2018-07-27,1.778
"16",2018-07-28,0
"17",2018-07-29,0
"18",2018-07-30,10.922
"19",2018-07-31,11.43
"20",2018-08-01,3.81
"21",2018-08-02,1.524
"22",2018-08-03,3.048
"23",2018-08-04,0
"24",2018-08-05,0
"25",2018-08-06,0
"26",2018-08-07,19.304
"27",2018-08-08,8.636
"28",2018-08-09,0.254
"29",2018-08-10,11.176
"30",2018-08-11,0
"31",2018-08-12,0
"32",2018-08-13,22.606
"33",2018-08-14,5.588
"34",2018-08-15,0
"35",2018-08-16,15.24
"36",2018-08-17,14.224
"37",2018-08-18,5.842
"38",2018-08-19,0
"39",2018-08-20,0
"40",2018-08-21,3.81
"41",2018-08-22,2.286
"42",2018-08-23,0
"43",2018-08-24,0
"44",2018-08-25,0
"45",2018-08-26,2.032
"46",2018-08-27,0
"47",2018-08-28,0
"48",2018-08-29,7.366
"49",2018-08-30,11.684
"50",2018-08-31,0
"51",2018-09-01,0.762
"52",2018-09-02,0
"53",2018-09-03,0
"54",2018-09-04,0
"55",2018-09-05,0
"56",2018-09-06,0.254
"57",2018-09-07,3.556
"58",2018-09-08,9.906
"59",2018-09-09,63.5
"60",2018-09-10,27.94
"61",2018-09-11,1.27
"62",2018-09-12,16.764
"63",2018-09-13,0
"64",2018-09-14,0
"65",2018-09-15,0
"66",2018-09-16,0
"67",2018-09-17,0.254
"68",2018-09-18,0
"69",2018-09-19,0
"70",2018-09-20,0
"71",2018-09-21,0.254
"72",2018-09-22,0
