"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","air"
"TIMESTAMP","RECORD","AirTC_Avg","RH"
"TS","RN","Deg C","%"
"","","Avg","Smp"
"2018-07-13 12:00:00",0,27.68,57.88
"2018-07-13 13:00:00",1,28.57,49.01
"2018-07-13 14:00:00",2,28.93,47.5
"2018-07-13 15:00:00",3,28.72,47.72
"2018-07-13 16:00:00",4,29.77,45.55
"2018-07-13 17:00:00",5,30.3,41.6
"2018-07-13 18:00:00",6,30.55,48.34
"2018-07-13 19:00:00",7,29.43,54.84
"2018-07-13 20:00:00",8,28.43,62.95
"2018-07-13 21:00:00",9,25.48,68.35
"2018-07-13 22:00:00",10,24.1,67.27
"2018-07-13 23:00:00",11,23.41,70.05
"2018-07-14 00:00:00",12,22.8,70.38
"2018-07-14 01:00:00",13,22.47,71.15
"2018-07-14 02:00:00",14,22.01,75.54
"2018-07-14 03:00:00",15,21.39,77.8
"2018-07-14 04:00:00",16,21.13,79.35
"2018-07-14 05:00:00",17,21.02,79.61
"2018-07-14 06:00:00",18,20.43,83
"2018-07-14 07:00:00",19,20.2,80.4
"2018-07-14 08:00:00",20,21.31,77.04
"2018-07-14 09:00:00",21,23.08,76.05
"2018-07-14 10:00:00",22,25.38,64.31
"2018-07-14 11:00:00",23,26.38,62.24
"2018-07-14 12:00:00",24,27.34,57.4
"2018-07-14 13:00:00",25,28.35,57.97
"2018-07-14 14:00:00",26,29.12,54.43
"2018-07-14 15:00:00",27,29.57,60.44
"2018-07-14 16:00:00",28,29.55,53.03
"2018-07-14 17:00:00",29,29.71,57.45
"2018-07-14 18:00:00",30,30.07,54.25
"2018-07-14 19:00:00",31,30.35,54.52
"2018-07-14 20:00:00",32,29.86,56.7
"2018-07-14 21:00:00",33,28.03,67.25
"2018-07-14 22:00:00",34,25.59,76.51
"2018-07-14 23:00:00",35,24.83,77.09
"2018-07-15 00:00:00",36,23.96,75.31
"2018-07-15 01:00:00",37,23.72,78.9
"2018-07-15 02:00:00",38,23.55,81.9
"2018-07-15 03:00:00",39,22.96,83.9
"2018-07-15 04:00:00",40,22.53,86.8
"2018-07-15 05:00:00",41,22.38,84.5
"2018-07-15 06:00:00",42,22.3,84.8
"2018-07-15 07:00:00",43,22.18,86.8
"2018-07-15 08:00:00",44,22.45,87.6
"2018-07-15 09:00:00",45,23.41,78.81
"2018-07-15 10:00:00",46,24.52,73.05
"2018-07-15 11:00:00",47,25.26,75.26
"2018-07-15 12:00:00",48,26.35,69.2
"2018-07-15 13:00:00",49,27.97,74.32
"2018-07-15 14:00:00",50,28.73,66.59
"2018-07-15 15:00:00",51,29.61,69.46
"2018-07-15 16:00:00",52,25.35,95.4
"2018-07-15 17:00:00",53,20.75,98.6
"2018-07-15 18:00:00",54,21.66,97.2
"2018-07-15 19:00:00",55,22.63,96.1
"2018-07-15 20:00:00",56,23.25,98.2
"2018-07-15 21:00:00",57,22.57,95.7
"2018-07-15 22:00:00",58,21.61,91.3
"2018-07-15 23:00:00",59,21.06,90.8
"2018-07-16 00:00:00",60,20.77,90.9
"2018-07-16 01:00:00",61,20.42,90.2
"2018-07-16 02:00:00",62,20.25,92
"2018-07-16 03:00:00",63,19.81,91.8
"2018-07-16 04:00:00",64,19.8,88.6
"2018-07-16 05:00:00",65,19.98,88.8
"2018-07-16 06:00:00",66,19.88,87.2
"2018-07-16 07:00:00",67,20.1,84.7
"2018-07-16 08:00:00",68,21.35,84
"2018-07-16 09:00:00",69,23.88,75.05
"2018-07-16 10:00:00",70,25.79,73.73
"2018-07-16 11:00:00",71,26.89,71.41
"2018-07-16 12:00:00",72,27.92,73.34
"2018-07-16 13:00:00",73,28.75,58.27
"2018-07-16 14:00:00",74,29.47,57.73
"2018-07-16 15:00:00",75,30.09,51.31
"2018-07-16 16:00:00",76,30.65,55.49
"2018-07-16 17:00:00",77,30.84,58.36
"2018-07-16 18:00:00",78,28.17,75.5
"2018-07-16 19:00:00",79,24.85,74.58
"2018-07-16 20:00:00",80,25.43,77.05
"2018-07-16 21:00:00",81,23.68,82.7
"2018-07-16 22:00:00",82,22.53,85.7
"2018-07-16 23:00:00",83,22.22,88.7
"2018-07-17 00:00:00",84,21.85,87.2
"2018-07-17 01:00:00",85,21.82,89.9
"2018-07-17 02:00:00",86,21.38,89.3
"2018-07-17 03:00:00",87,21.4,89
"2018-07-17 04:00:00",88,21.5,88.9
"2018-07-17 05:00:00",89,21.35,90.8
"2018-07-17 06:00:00",90,21.45,90.6
"2018-07-17 07:00:00",91,21.76,93.7
"2018-07-17 08:00:00",92,21.73,94.7
"2018-07-17 09:00:00",93,21.69,98.4
"2018-07-17 10:00:00",94,22.04,97.8
"2018-07-17 11:00:00",95,22.54,93.5
"2018-07-17 12:00:00",96,23.51,89.8
"2018-07-17 13:00:00",97,25.48,82.9
"2018-07-17 14:00:00",98,25.93,78.57
"2018-07-17 15:00:00",99,27.72,73.04
"2018-07-17 16:00:00",100,28.4,56.98
"2018-07-17 17:00:00",101,28.51,58.48
"2018-07-17 18:00:00",102,28.14,55.55
"2018-07-17 19:00:00",103,27.47,55.38
"2018-07-17 20:00:00",104,25.79,56.33
"2018-07-17 21:00:00",105,23.82,62.85
"2018-07-17 22:00:00",106,22.37,64.31
"2018-07-17 23:00:00",107,21.41,66.44
"2018-07-18 00:00:00",108,20.48,69.07
"2018-07-18 01:00:00",109,19.67,74.11
"2018-07-18 02:00:00",110,18.75,78.93
"2018-07-18 03:00:00",111,17.97,82.9
"2018-07-18 04:00:00",112,17.1,88.8
"2018-07-18 05:00:00",113,16.23,85.8
"2018-07-18 06:00:00",114,15.82,94.1
"2018-07-18 07:00:00",115,14.93,97.1
"2018-07-18 08:00:00",116,16.28,85.1
"2018-07-18 09:00:00",117,18.25,72.66
"2018-07-18 10:00:00",118,19.62,62.88
"2018-07-18 11:00:00",119,21.12,60.84
"2018-07-18 12:00:00",120,21.86,57.52
"2018-07-18 13:00:00",121,22.88,44.06
"2018-07-18 14:00:00",122,23.89,44.52
"2018-07-18 15:00:00",123,24.08,47.29
"2018-07-18 16:00:00",124,24.46,44.41
"2018-07-18 17:00:00",125,24.51,41.02
"2018-07-18 18:00:00",126,25.26,42.37
"2018-07-18 19:00:00",127,24.96,42.47
"2018-07-18 20:00:00",128,24,50.25
"2018-07-18 21:00:00",129,22.1,55.15
"2018-07-18 22:00:00",130,20.09,70.86
"2018-07-18 23:00:00",131,18.5,69.73
"2018-07-19 00:00:00",132,17.67,70.25
"2018-07-19 01:00:00",133,17.12,74.02
"2018-07-19 02:00:00",134,16.53,73.08
"2018-07-19 03:00:00",135,16.15,83.2
"2018-07-19 04:00:00",136,15.22,89
"2018-07-19 05:00:00",137,14.13,86.2
"2018-07-19 06:00:00",138,14.05,86.3
"2018-07-19 07:00:00",139,14.03,84.5
"2018-07-19 08:00:00",140,15.48,76.29
"2018-07-19 09:00:00",141,18.49,65.85
"2018-07-19 10:00:00",142,21.68,57.21
"2018-07-19 11:00:00",143,23.98,48.89
"2018-07-19 12:00:00",144,25.72,44.41
"2018-07-19 13:00:00",145,25.74,45.2
"2018-07-19 14:00:00",146,26.57,38.42
"2018-07-19 15:00:00",147,27.38,40.27
"2018-07-19 16:00:00",148,27.89,40.78
"2018-07-19 17:00:00",149,28.47,41.81
"2018-07-19 18:00:00",150,28.32,41.09
"2018-07-19 19:00:00",151,28.33,49.11
"2018-07-19 20:00:00",152,28.13,43.98
"2018-07-19 21:00:00",153,24.6,70.95
"2018-07-19 22:00:00",154,22.27,66.48
"2018-07-19 23:00:00",155,21.61,66.69
"2018-07-20 00:00:00",156,21.11,64.74
"2018-07-20 01:00:00",157,20.74,66.18
"2018-07-20 02:00:00",158,20.34,67.96
"2018-07-20 03:00:00",159,20.02,68.75
"2018-07-20 04:00:00",160,19.74,68.22
"2018-07-20 05:00:00",161,19.29,71.14
"2018-07-20 06:00:00",162,19.01,70.75
"2018-07-20 07:00:00",163,19.17,71.76
"2018-07-20 08:00:00",164,19.86,69.4
"2018-07-20 09:00:00",165,21.94,61.8
"2018-07-20 10:00:00",166,24.56,63.76
"2018-07-20 11:00:00",167,25.74,60.83
"2018-07-20 12:00:00",168,27.84,52.19
"2018-07-20 13:00:00",169,28.8,51.04
"2018-07-20 14:00:00",170,29,46.84
"2018-07-20 15:00:00",171,28.66,52.05
"2018-07-20 16:00:00",172,28.13,61.3
"2018-07-20 17:00:00",173,21.93,92
"2018-07-20 18:00:00",174,21.43,97.6
"2018-07-20 19:00:00",175,19.94,98.6
"2018-07-20 20:00:00",176,19.38,93.2
"2018-07-20 21:00:00",177,19.25,92.5
"2018-07-20 22:00:00",178,19.16,88.2
"2018-07-20 23:00:00",179,19.21,89.7
"2018-07-21 00:00:00",180,20.14,74.37
"2018-07-21 01:00:00",181,20.54,76.1
"2018-07-21 02:00:00",182,20.58,74.61
"2018-07-21 03:00:00",183,20.21,80.1
"2018-07-21 04:00:00",184,19.55,76.56
"2018-07-21 05:00:00",185,19.64,77.75
"2018-07-21 06:00:00",186,19.69,77.12
"2018-07-21 07:00:00",187,19.3,78.04
"2018-07-21 08:00:00",188,19.47,82.2
"2018-07-21 09:00:00",189,19.9,80.7
"2018-07-21 10:00:00",190,20.48,77.26
"2018-07-21 11:00:00",191,23.1,70.23
"2018-07-21 12:00:00",192,24.54,60.57
"2018-07-21 13:00:00",193,25.22,59.12
"2018-07-21 14:00:00",194,26.13,58.74
"2018-07-21 15:00:00",195,26.94,60.68
"2018-07-21 16:00:00",196,23.91,94.2
"2018-07-21 17:00:00",197,20.47,96
"2018-07-21 18:00:00",198,21.99,86.8
"2018-07-21 19:00:00",199,21.55,83.4
"2018-07-21 20:00:00",200,21.44,81.4
"2018-07-21 21:00:00",201,19.35,86.2
"2018-07-21 22:00:00",202,18.45,85.7
"2018-07-21 23:00:00",203,18.12,84.7
"2018-07-22 00:00:00",204,17.84,88.2
"2018-07-22 01:00:00",205,17.37,85.6
"2018-07-22 02:00:00",206,17.09,93.5
"2018-07-22 03:00:00",207,16.28,92.9
"2018-07-22 04:00:00",208,16.37,91.5
"2018-07-22 05:00:00",209,16.12,96.6
"2018-07-22 06:00:00",210,15.63,97.8
"2018-07-22 07:00:00",211,15.53,97.7
"2018-07-22 08:00:00",212,16.74,90.9
"2018-07-22 09:00:00",213,18.55,87.8
"2018-07-22 10:00:00",214,19.97,83.6
"2018-07-22 11:00:00",215,21.76,79.07
"2018-07-22 12:00:00",216,22.83,74.21
"2018-07-22 13:00:00",217,24.12,66.85
"2018-07-22 14:00:00",218,24.67,67.05
"2018-07-22 15:00:00",219,25.58,63.33
"2018-07-22 16:00:00",220,25.79,62.93
"2018-07-22 17:00:00",221,20.05,99.9
"2018-07-22 18:00:00",222,19.45,98.2
"2018-07-22 19:00:00",223,20.34,99
"2018-07-22 20:00:00",224,20.25,97.6
"2018-07-22 21:00:00",225,19.72,100
"2018-07-22 22:00:00",226,19.28,99.5
"2018-07-22 23:00:00",227,19.06,98.3
"2018-07-23 00:00:00",228,18.77,95.1
"2018-07-23 01:00:00",229,18.94,94.6
"2018-07-23 02:00:00",230,19.02,89.8
"2018-07-23 03:00:00",231,19.59,94.1
"2018-07-23 04:00:00",232,19.24,91.3
"2018-07-23 05:00:00",233,19.6,90.5
"2018-07-23 06:00:00",234,19.23,93.6
"2018-07-23 07:00:00",235,19.52,98.8
"2018-07-23 08:00:00",236,20.21,84.1
"2018-07-23 09:00:00",237,22.43,85.3
"2018-07-23 10:00:00",238,23.69,77.33
"2018-07-23 11:00:00",239,25.05,68.48
"2018-07-23 12:00:00",240,25.42,78.71
"2018-07-23 13:00:00",241,25.3,64.88
"2018-07-23 14:00:00",242,26.82,68.24
"2018-07-23 15:00:00",243,27.88,61.15
"2018-07-23 16:00:00",244,27.18,73.28
"2018-07-23 17:00:00",245,25.25,63.55
"2018-07-23 18:00:00",246,27.24,62.08
"2018-07-23 19:00:00",247,27.18,69.88
"2018-07-23 20:00:00",248,25.39,74.57
"2018-07-23 21:00:00",249,24.59,84.6
"2018-07-23 22:00:00",250,23.1,78.7
"2018-07-23 23:00:00",251,22.58,80.3
"2018-07-24 00:00:00",252,22.22,81.9
"2018-07-24 01:00:00",253,21.99,81.4
"2018-07-24 02:00:00",254,21.55,83.6
"2018-07-24 03:00:00",255,21.25,85.3
"2018-07-24 04:00:00",256,21,83.8
"2018-07-24 05:00:00",257,21.35,83.2
"2018-07-24 06:00:00",258,21.1,84.2
"2018-07-24 07:00:00",259,20.82,86.5
"2018-07-24 08:00:00",260,21.07,83.7
"2018-07-24 09:00:00",261,22.5,75.67
"2018-07-24 10:00:00",262,24.04,77.69
"2018-07-24 11:00:00",263,25.78,67.58
"2018-07-24 12:00:00",264,26.9,70.56
"2018-07-24 13:00:00",265,26.92,65.33
"2018-07-24 14:00:00",266,27.36,58.85
"2018-07-24 15:00:00",267,26.89,73.52
"2018-07-24 16:00:00",268,26.49,65.27
"2018-07-24 17:00:00",269,25.01,73.25
"2018-07-24 18:00:00",270,22.02,98.5
"2018-07-24 19:00:00",271,22.11,98.2
"2018-07-24 20:00:00",272,22.74,99.5
"2018-07-24 21:00:00",273,22.3,100
"2018-07-24 22:00:00",274,22,100
"2018-07-24 23:00:00",275,21.72,100
"2018-07-25 00:00:00",276,21.27,100
"2018-07-25 01:00:00",277,20.94,100
"2018-07-25 02:00:00",278,20.69,100
"2018-07-25 03:00:00",279,20.53,100
"2018-07-25 04:00:00",280,20.17,100
"2018-07-25 05:00:00",281,20.09,100
"2018-07-25 06:00:00",282,20.09,100
"2018-07-25 07:00:00",283,20.26,100
"2018-07-25 08:00:00",284,20.27,100
"2018-07-25 09:00:00",285,20.4,100
"2018-07-25 10:00:00",286,21.27,96.7
"2018-07-25 11:00:00",287,21.92,89.1
"2018-07-25 12:00:00",288,23.13,85.1
"2018-07-25 13:00:00",289,23.51,80.7
"2018-07-25 14:00:00",290,23.41,95.5
"2018-07-25 15:00:00",291,21.93,96.2
"2018-07-25 16:00:00",292,22.93,89
"2018-07-25 17:00:00",293,23.52,89.2
"2018-07-25 18:00:00",294,24.49,80.9
"2018-07-25 19:00:00",295,22.62,90.1
"2018-07-25 20:00:00",296,22.47,94.2
"2018-07-25 21:00:00",297,20.71,96.9
"2018-07-25 22:00:00",298,20.16,99.9
"2018-07-25 23:00:00",299,19.95,100
"2018-07-26 00:00:00",300,19.88,100
"2018-07-26 01:00:00",301,19.55,100
"2018-07-26 02:00:00",302,19.5,100
"2018-07-26 03:00:00",303,19.48,100
"2018-07-26 04:00:00",304,19.25,100
"2018-07-26 05:00:00",305,18.92,100
"2018-07-26 06:00:00",306,18.55,100
"2018-07-26 07:00:00",307,18.35,100
"2018-07-26 08:00:00",308,18.59,100
"2018-07-26 09:00:00",309,19.65,95
"2018-07-26 10:00:00",310,20.79,94.6
"2018-07-26 11:00:00",311,21.46,88.8
"2018-07-26 12:00:00",312,22.82,80.1
"2018-07-26 13:00:00",313,24.74,75.1
"2018-07-26 14:00:00",314,25.27,65.82
"2018-07-26 15:00:00",315,26.39,62.03
"2018-07-26 16:00:00",316,26.57,60.06
"2018-07-26 17:00:00",317,27.65,56.11
