"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-07-13 12:00:00",0,13.87,"NAN"
"2018-07-13 13:00:00",1,13.86,"NAN"
"2018-07-13 14:00:00",2,13.85,"NAN"
"2018-07-13 15:00:00",3,13.84,"NAN"
"2018-07-13 16:00:00",4,13.72,"NAN"
"2018-07-13 17:00:00",5,13.6,"NAN"
"2018-07-13 18:00:00",6,13.6,"NAN"
"2018-07-13 19:00:00",7,13.64,"NAN"
"2018-07-13 20:00:00",8,13.76,"NAN"
"2018-07-13 21:00:00",9,12.88,"NAN"
"2018-07-13 22:00:00",10,12.84,"NAN"
"2018-07-13 23:00:00",11,12.81,"NAN"
"2018-07-14 00:00:00",12,12.81,"NAN"
"2018-07-14 01:00:00",13,12.77,"NAN"
"2018-07-14 02:00:00",14,12.77,"NAN"
"2018-07-14 03:00:00",15,12.77,"NAN"
"2018-07-14 04:00:00",16,12.76,"NAN"
"2018-07-14 05:00:00",17,12.74,"NAN"
"2018-07-14 06:00:00",18,12.74,"NAN"
"2018-07-14 07:00:00",19,12.74,"NAN"
"2018-07-14 08:00:00",20,12.93,"NAN"
"2018-07-14 09:00:00",21,13.96,"NAN"
"2018-07-14 10:00:00",22,13.95,"NAN"
"2018-07-14 11:00:00",23,13.95,"NAN"
"2018-07-14 12:00:00",24,14.17,"NAN"
"2018-07-14 13:00:00",25,14.11,"NAN"
"2018-07-14 14:00:00",26,14,"NAN"
"2018-07-14 15:00:00",27,13.95,"NAN"
"2018-07-14 16:00:00",28,13.79,"NAN"
"2018-07-14 17:00:00",29,13.75,"NAN"
"2018-07-14 18:00:00",30,13.76,"NAN"
"2018-07-14 19:00:00",31,13.95,"NAN"
"2018-07-14 20:00:00",32,13.79,"NAN"
"2018-07-14 21:00:00",33,12.89,"NAN"
"2018-07-14 22:00:00",34,12.85,"NAN"
