"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","Wind"
"TIMESTAMP","RECORD","WS_ms_S_WVT","WindDir_D1_WVT","WindDir_SD1_WVT"
"TS","RN","meters/second","Deg","Deg"
"","","WVc","WVc","WVc"
"2018-07-13 12:00:00",0,0.442,34.47,68.03
"2018-07-13 13:00:00",1,0.49,35.46,76.49
"2018-07-13 14:00:00",2,0.842,111.9,87.1
"2018-07-13 15:00:00",3,0.774,174.8,55.65
"2018-07-13 16:00:00",4,0.737,159.3,84.1
"2018-07-13 17:00:00",5,0.561,129.2,75.81
"2018-07-13 18:00:00",6,0.339,349.7,72.58
"2018-07-13 19:00:00",7,0.391,342,36.19
"2018-07-13 20:00:00",8,0.026,342.9,11.59
"2018-07-13 21:00:00",9,0.504,341.2,14.67
"2018-07-13 22:00:00",10,0.951,334.6,12.7
"2018-07-13 23:00:00",11,0.934,332.2,10.75
"2018-07-14 00:00:00",12,0.858,330.1,7.792
"2018-07-14 01:00:00",13,0.669,330.5,8.97
"2018-07-14 02:00:00",14,0.439,302.4,13.6
"2018-07-14 03:00:00",15,0.496,302.9,12.92
"2018-07-14 04:00:00",16,0.533,310.3,11.32
"2018-07-14 05:00:00",17,0.522,320.2,4.75
"2018-07-14 06:00:00",18,0.335,319.3,4.732
"2018-07-14 07:00:00",19,0.102,313.9,1.995
"2018-07-14 08:00:00",20,0,317.1,0.004
"2018-07-14 09:00:00",21,0.308,346.2,16.13
"2018-07-14 10:00:00",22,0.605,44.76,65.91
"2018-07-14 11:00:00",23,1.139,80.2,44.52
"2018-07-14 12:00:00",24,1.132,63.81,51.96
"2018-07-14 13:00:00",25,1.084,100.9,46.4
"2018-07-14 14:00:00",26,1.091,71.82,61.79
"2018-07-14 15:00:00",27,0.826,84.1,58.55
"2018-07-14 16:00:00",28,1.018,104.1,33.69
"2018-07-14 17:00:00",29,0.808,95.1,33.91
