"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","sun"
"TIMESTAMP","RECORD","PAR_Den_Avg","PAR_Tot_Tot","SlrW_Avg","SlrkJ_Tot","SunHrs_Tot","PotSlrW_Avg"
"TS","RN","umol/s/m^2","mmol/m^2","W/m^2","kJ/m^2","hours","W/m^2"
"","","Avg","Tot","Avg","Tot","Tot","Avg"
"2018-07-13 12:00:00",0,7999,22270.21,2043,4239.25,0,-360.5
"2018-07-13 13:00:00",1,7999,41919.41,2210,7956.38,0,-488.9
"2018-07-13 14:00:00",2,7999,45155.63,2419,8709.885,0,-603.1
"2018-07-13 15:00:00",3,7999,33688.51,1772,6380.82,0,-654.1
"2018-07-13 16:00:00",4,7999,40427.42,2154,7753.673,0,-638.4
"2018-07-13 17:00:00",5,7999,33443.1,1764,6349.044,0,-557.1
"2018-07-13 18:00:00",6,7147,25729.33,1302,4687.877,0,-415.7
"2018-07-13 19:00:00",7,4472,16099.76,857,3085.054,0,-223.5
"2018-07-13 20:00:00",8,1896,6824.59,357.7,1287.542,0,10.19
"2018-07-13 21:00:00",9,337.9,1216.321,54.07,194.668,0.285,257.6
"2018-07-13 22:00:00",10,2.219,7.989056,0,0,0,511.9
"2018-07-13 23:00:00",11,0.356,1.282262,0,0,0,754.2
"2018-07-14 00:00:00",12,0.348,1.251433,0,0,0,967
"2018-07-14 01:00:00",13,0.341,1.225949,0,0,0,1137
"2018-07-14 02:00:00",14,0.335,1.205956,0,0,0,1251
"2018-07-14 03:00:00",15,0.329,1.184881,0,0,0,1302
"2018-07-14 04:00:00",16,0.322,1.157535,0,0,0,1286
"2018-07-14 05:00:00",17,0.319,1.148106,0,0,0,1204
"2018-07-14 06:00:00",18,3.284,11.82396,0,0,0,1063
"2018-07-14 07:00:00",19,354.3,1275.423,60.37,217.3255,0,871
"2018-07-14 08:00:00",20,1695,6100.239,305.5,1099.907,0.566,642.1
"2018-07-14 09:00:00",21,4438,15978.11,842,3030.111,1,391.6
"2018-07-14 10:00:00",22,7315,26333.97,1367,4919.948,0.5,138.6
"2018-07-14 11:00:00",23,7999,34289.88,1786,6429.16,0,-105.2
"2018-07-14 12:00:00",24,7999,40372.92,2108,7589.804,0,-321.6
"2018-07-14 13:00:00",25,7999,43958.71,2300,8279.469,0,-491.6
"2018-07-14 14:00:00",26,7999,38686.2,2027,7298.323,0,-606.1
"2018-07-14 15:00:00",27,7999,30065.38,1581,5690.691,0,-657.3
"2018-07-14 16:00:00",28,7999,29669.56,1569,5648.797,0,-641.7
"2018-07-14 17:00:00",29,5985,21547.72,1128,4059.294,0,-560.4
"2018-07-14 18:00:00",30,5814,20930.14,1090,3924.199,0,-418.9
"2018-07-14 19:00:00",31,4396,15825.42,839,3020.351,0,-226.6
"2018-07-14 20:00:00",32,1971,7097.158,378.1,1361.313,0,7.223
"2018-07-14 21:00:00",33,316.8,1140.649,51.49,185.38,0.269,254.9
"2018-07-14 22:00:00",34,1.64,5.905202,0,0,0,509.5
"2018-07-14 23:00:00",35,0.335,1.207327,0,0,0,752.1
"2018-07-15 00:00:00",36,0.325,1.168381,0,0,0,966
"2018-07-15 01:00:00",37,0.314,1.128633,0,0,0,1135
"2018-07-15 02:00:00",38,0.316,1.137273,0,0,0,1249
"2018-07-15 03:00:00",39,0.321,1.154958,0,0,0,1300
"2018-07-15 04:00:00",40,0.317,1.141609,0,0,0,1285
"2018-07-15 05:00:00",41,0.317,1.142732,0,0,0,1203
"2018-07-15 06:00:00",42,1.665,5.993646,0.023,0.08108975,0,1062
"2018-07-15 07:00:00",43,221.7,798.1241,39.45,142.033,0,870
"2018-07-15 08:00:00",44,958,3448.696,177.6,639.2132,0.217,640.7
"2018-07-15 09:00:00",45,2131,7670.537,400.6,1442.097,1,389.9
"2018-07-15 10:00:00",46,3780,13609.7,696.4,2506.976,0.493,136.7
"2018-07-15 11:00:00",47,4800,17279.38,885,3184.3,0,-107.6
"2018-07-15 12:00:00",48,7460,26856.02,1390,5004.811,0,-324.2
"2018-07-15 13:00:00",49,7999,37551.04,1953,7030.7,0,-494.5
"2018-07-15 14:00:00",50,7999,40051.82,2091,7528.223,0,-609.2
"2018-07-15 15:00:00",51,7999,35464.55,1830,6588.085,0,-660.5
"2018-07-15 16:00:00",52,1514,5450.656,258.9,932.0627,0,-645.1
"2018-07-15 17:00:00",53,1273,4584.492,224.2,807.2708,0,-563.8
"2018-07-15 18:00:00",54,1637,5891.929,299.3,1077.512,0,-422.3
"2018-07-15 19:00:00",55,1461,5258.725,269.5,970.2655,0,-229.8
"2018-07-15 20:00:00",56,876,3152.952,159.1,572.6171,0,4.173
"2018-07-15 21:00:00",57,195.4,703.3639,30.54,109.9311,0.001,252.1
"2018-07-15 22:00:00",58,1.38,4.967747,0,0,0,507
"2018-07-15 23:00:00",59,0.338,1.215489,0,0,0,749.9
"2018-07-16 00:00:00",60,0.335,1.207028,0,0,0,964
"2018-07-16 01:00:00",61,0.338,1.21663,0,0,0,1134
"2018-07-16 02:00:00",62,0.338,1.215587,0,0,0,1248
"2018-07-16 03:00:00",63,0.339,1.219919,0,0,0,1299
"2018-07-16 04:00:00",64,0.332,1.194898,0,0,0,1284
"2018-07-16 05:00:00",65,0.33,1.189228,0,0,0,1202
"2018-07-16 06:00:00",66,3.293,11.85421,0.001,0.003430785,0,1061
"2018-07-16 07:00:00",67,324.3,1167.389,44.23,159.2242,0,869
"2018-07-16 08:00:00",68,2134,7682.508,393.4,1416.267,0.783,639.1
"2018-07-16 09:00:00",69,4794,17259.42,885,3185.368,1,388.1
"2018-07-16 10:00:00",70,7389,26599.12,1362,4901.53,0.484,134.7
"2018-07-16 11:00:00",71,7999,34310.14,1766,6357.57,0,-110.1
"2018-07-16 12:00:00",72,7999,40534.34,2108,7588.27,0,-326.9
"2018-07-16 13:00:00",73,7999,40251.46,2106,7581.435,0,-497.5
"2018-07-16 14:00:00",74,7999,40904.28,2125,7648.554,0,-612.4
"2018-07-16 15:00:00",75,7999,41602.67,2154,7753.105,0,-663.9
"2018-07-16 16:00:00",76,7999,39625.57,2066,7438.069,0,-648.5
"2018-07-16 17:00:00",77,7999,30844.57,1625,5850.713,0,-567.3
"2018-07-16 18:00:00",78,3030,10909.77,549.1,1976.693,0,-425.7
"2018-07-16 19:00:00",79,3475,12509.46,662.3,2384.264,0,-233.1
"2018-07-16 20:00:00",80,2583,9298.694,501.7,1806.03,0,1.063
"2018-07-16 21:00:00",81,162.3,584.2108,23.78,85.61984,0.069,249.4
"2018-07-16 22:00:00",82,1.176,4.234718,0,0,0,504.5
"2018-07-16 23:00:00",83,0.369,1.328407,0,0,0,747.7
"2018-07-17 00:00:00",84,0.36,1.295645,0,0,0,962
"2018-07-17 01:00:00",85,0.344,1.239029,0,0,0,1132
"2018-07-17 02:00:00",86,0.34,1.222899,0,0,0,1247
"2018-07-17 03:00:00",87,0.338,1.217041,0,0,0,1298
"2018-07-17 04:00:00",88,0.319,1.147,0,0,0,1282
"2018-07-17 05:00:00",89,0.315,1.132405,0,0,0,1201
"2018-07-17 06:00:00",90,0.983,3.538888,0.113,0.4079013,0,1059
"2018-07-17 07:00:00",91,142.7,513.6157,24.3,87.49322,0,867
"2018-07-17 08:00:00",92,325.7,1172.699,55.59,200.1352,0,637.5
"2018-07-17 09:00:00",93,867,3120.792,149.5,538.2585,0.551,386.2
"2018-07-17 10:00:00",94,2254,8113.523,398.3,1434.019,0.475,132.5
"2018-07-17 11:00:00",95,2494,8978.861,445.7,1604.672,0,-112.8
"2018-07-17 12:00:00",96,3605,12978.8,652.4,2348.647,0,-329.8
"2018-07-17 13:00:00",97,7999,30207.57,1559,5614.075,0,-500.6
"2018-07-17 14:00:00",98,7167,25802.59,1313,4727.125,0,-615.8
"2018-07-17 15:00:00",99,7999,34564.59,1811,6520.462,0,-667.4
"2018-07-17 16:00:00",100,7999,31540.14,1669,6006.834,0,-652.1
"2018-07-17 17:00:00",101,7266,26157.33,1381,4973.339,0,-570.9
"2018-07-17 18:00:00",102,6692,24092.27,1293,4656.37,0,-429.2
"2018-07-17 19:00:00",103,4499,16194.89,879,3164.114,0,-236.5
"2018-07-17 20:00:00",104,1644,5919.655,317.7,1143.576,0,-2.113
"2018-07-17 21:00:00",105,309.5,1114.168,54.2,195.109,0.178,246.5
"2018-07-17 22:00:00",106,1.614,5.811487,0,0,0,501.9
"2018-07-17 23:00:00",107,0.396,1.425193,0,0,0,745.4
"2018-07-18 00:00:00",108,0.397,1.428175,0,0,0,960
"2018-07-18 01:00:00",109,0.402,1.446025,0,0,0,1130
"2018-07-18 02:00:00",110,0.399,1.436429,0,0,0,1245
"2018-07-18 03:00:00",111,0.401,1.442115,0,0,0,1297
"2018-07-18 04:00:00",112,0.409,1.471429,0,0,0,1281
"2018-07-18 05:00:00",113,0.404,1.453897,0,0,0,1200
"2018-07-18 06:00:00",114,2.77,9.972646,0,0,0,1058
"2018-07-18 07:00:00",115,270.7,974.4485,27.95,100.6355,0,866
"2018-07-18 08:00:00",116,2436,8771.098,497.1,1789.52,0.849,635.7
"2018-07-18 09:00:00",117,5107,18385.84,966,3478.675,1,384.1
"2018-07-18 10:00:00",118,7688,27675.64,1463,5265.528,0.466,130.2
"2018-07-18 11:00:00",119,7999,35445.41,1885,6787.363,0,-115.6
"2018-07-18 12:00:00",120,7999,29165.31,1573,5662.53,0,-332.8
"2018-07-18 13:00:00",121,7999,40803.19,2199,7916.929,0,-503.9
"2018-07-18 14:00:00",122,7999,45783.86,2471,8894.386,0,-619.3
"2018-07-18 15:00:00",123,7999,40935.17,2216,7976.722,0,-671.1
"2018-07-18 16:00:00",124,7999,37583.36,2047,7369.837,0,-655.9
"2018-07-18 17:00:00",125,7758,27927.81,1531,5509.956,0,-574.6
"2018-07-18 18:00:00",126,7952,28628.71,1594,5737.687,0,-432.8
"2018-07-18 19:00:00",127,4976,17912.46,1008,3628.376,0,-240
"2018-07-18 20:00:00",128,2123,7641.773,434.1,1562.853,0,-5.356
"2018-07-18 21:00:00",129,312.6,1125.385,55.32,199.141,0.229,243.6
"2018-07-18 22:00:00",130,1.455,5.236424,0,0,0,499.3
"2018-07-18 23:00:00",131,0.419,1.509759,0,0,0,743.1
"2018-07-19 00:00:00",132,0.418,1.504222,0,0,0,958
"2018-07-19 01:00:00",133,0.408,1.469683,0,0,0,1128
"2018-07-19 02:00:00",134,0.391,1.407314,0,0,0,1244
"2018-07-19 03:00:00",135,0.395,1.423638,0,0,0,1295
"2018-07-19 04:00:00",136,0.387,1.393063,0,0,0,1280
"2018-07-19 05:00:00",137,0.381,1.37148,0,0,0,1198
"2018-07-19 06:00:00",138,2.502,9.00668,0,0,0,1057
"2018-07-19 07:00:00",139,271.8,978.3765,30.83,110.988,0,864
"2018-07-19 08:00:00",140,2269,8166.888,444.9,1601.661,0.813,633.8
"2018-07-19 09:00:00",141,5141,18509.14,975,3509.789,1,381.9
"2018-07-19 10:00:00",142,7638,27497.29,1451,5222.367,0.456,127.8
"2018-07-19 11:00:00",143,7999,35469.68,1887,6794.228,0,-118.5
"2018-07-19 12:00:00",144,7999,38779.76,2067,7439.942,0,-335.9
"2018-07-19 13:00:00",145,7999,40177.58,2158,7769.951,0,-507.3
"2018-07-19 14:00:00",146,7999,46248.67,2484,8941.145,0,-622.9
"2018-07-19 15:00:00",147,7999,43577.54,2350,8459.02,0,-674.8
"2018-07-19 16:00:00",148,7999,40311.26,2188,7877.877,0,-659.7
"2018-07-19 17:00:00",149,7999,33371.86,1796,6464.284,0,-578.4
"2018-07-19 18:00:00",150,5591,20128.23,1055,3797.978,0,-436.5
"2018-07-19 19:00:00",151,4088,14715.83,793.4,2856.278,0,-243.5
"2018-07-19 20:00:00",152,1959,7052.524,380.1,1368.521,0,-8.65
"2018-07-19 21:00:00",153,272.5,980.9171,45.38,163.3748,0.239,240.7
"2018-07-19 22:00:00",154,1.274,4.584743,0,0,0,496.7
"2018-07-19 23:00:00",155,0.384,1.382125,0,0,0,740.8
"2018-07-20 00:00:00",156,0.386,1.388892,0,0,0,956
"2018-07-20 01:00:00",157,0.368,1.323087,0,0,0,1127
"2018-07-20 02:00:00",158,0.358,1.289742,0,0,0,1242
"2018-07-20 03:00:00",159,0.358,1.28767,0,0,0,1294
"2018-07-20 04:00:00",160,0.359,1.293456,0,0,0,1278
"2018-07-20 05:00:00",161,0.349,1.255745,0,0,0,1197
"2018-07-20 06:00:00",162,1.819,6.546635,0,0,0,1055
"2018-07-20 07:00:00",163,267,961.2566,36.82,132.5696,0,862
"2018-07-20 08:00:00",164,1436,5170.695,257.6,927.3038,0.429,631.8
"2018-07-20 09:00:00",165,4477,16116.33,840,3024.921,0.933,379.6
"2018-07-20 10:00:00",166,7592,27330.29,1428,5139.974,0.446,125.3
"2018-07-20 11:00:00",167,7999,29092.87,1518,5464.816,0,-121.6
"2018-07-20 12:00:00",168,7999,42276.49,2212,7962.785,0,-339.2
"2018-07-20 13:00:00",169,7999,45452.28,2371,8536.001,0,-510.8
"2018-07-20 14:00:00",170,7999,43164.7,2266,8156.179,0,-626.6
"2018-07-20 15:00:00",171,7730,27829.57,1472,5300.416,0,-678.7
"2018-07-20 16:00:00",172,5586,20108.22,1053,3791.201,0,-663.6
"2018-07-20 17:00:00",173,1872,6739.67,343.9,1238.199,0,-582.3
"2018-07-20 18:00:00",174,1248,4491.204,227.3,818.1888,0,-440.3
"2018-07-20 19:00:00",175,521.5,1877.329,90.5,325.772,0,-247.1
"2018-07-20 20:00:00",176,598.6,2154.986,125.7,452.6644,0,-12.03
"2018-07-20 21:00:00",177,220.4,793.4047,45.56,164.0117,0.162,237.7
"2018-07-20 22:00:00",178,0.823,2.961165,0.206,0.7411958,0,494
"2018-07-20 23:00:00",179,0.347,1.250653,1.479,5.323925,0,738.4
"2018-07-21 00:00:00",180,0.335,1.206048,2.408,8.668521,0,954
"2018-07-21 01:00:00",181,0.334,1.202616,0.506,1.822487,0,1125
"2018-07-21 02:00:00",182,0.33,1.189437,0,0,0,1240
"2018-07-21 03:00:00",183,0.335,1.206721,0,0,0,1292
"2018-07-21 04:00:00",184,0.341,1.226685,0,0,0,1277
"2018-07-21 05:00:00",185,0.322,1.157654,0,0,0,1195
"2018-07-21 06:00:00",186,1.477,5.318547,0,0,0,1053
"2018-07-21 07:00:00",187,134.4,483.92,21.53,77.50041,0,860
"2018-07-21 08:00:00",188,515.7,1856.377,94.1,338.5983,0,629.7
"2018-07-21 09:00:00",189,750.2,2700.774,135.2,486.8043,0.471,377.2
"2018-07-21 10:00:00",190,1362,4903.629,249.4,897.7057,0.435,122.6
"2018-07-21 11:00:00",191,5483,19738.92,1029,3702.991,0,-124.8
"2018-07-21 12:00:00",192,7999,33831.14,1748,6291.551,0,-342.6
"2018-07-21 13:00:00",193,7999,36534.17,1899,6835.417,0,-514.5
"2018-07-21 14:00:00",194,7999,35826.25,1879,6763.748,0,-630.5
"2018-07-21 15:00:00",195,7999,33403.94,1747,6287.823,0,-682.7
"2018-07-21 16:00:00",196,2144,7718.833,389.3,1401.372,0,-667.6
"2018-07-21 17:00:00",197,1967,7079.478,359.7,1294.837,0,-586.3
"2018-07-21 18:00:00",198,4106,14780.12,768.2,2765.681,0,-444.1
"2018-07-21 19:00:00",199,3355,12076.82,630,2267.895,0,-250.7
"2018-07-21 20:00:00",200,2010,7237.009,413.8,1489.752,0,-15.44
"2018-07-21 21:00:00",201,254.2,915.1576,48.59,174.9345,0.141,234.6
"2018-07-21 22:00:00",202,0.96,3.45564,0,0,0,491.2
"2018-07-21 23:00:00",203,0.393,1.413425,0,0,0,736
"2018-07-22 00:00:00",204,0.391,1.406659,0,0,0,952
"2018-07-22 01:00:00",205,0.379,1.362774,0,0,0,1123
"2018-07-22 02:00:00",206,0.361,1.300162,0,0,0,1239
"2018-07-22 03:00:00",207,0.369,1.329901,0,0,0,1291
"2018-07-22 04:00:00",208,0.359,1.29282,0,0,0,1275
"2018-07-22 05:00:00",209,0.357,1.286937,0,0,0,1194
"2018-07-22 06:00:00",210,1.383,4.980522,0,0,0,1052
"2018-07-22 07:00:00",211,265.2,954.884,40.28,145.0159,0,858
"2018-07-22 08:00:00",212,1050,3780.015,189.9,683.5848,0.211,627.4
"2018-07-22 09:00:00",213,2998,10793.03,550.3,1981.018,1,374.7
"2018-07-22 10:00:00",214,3269,11768.71,608.2,2189.35,0.424,119.9
"2018-07-22 11:00:00",215,5114,18411.78,948,3411.821,0,-128.2
"2018-07-22 12:00:00",216,4374,15746.8,802,2888.637,0,-346.1
"2018-07-22 13:00:00",217,7999,31218,1608,5788.821,0,-518.3
"2018-07-22 14:00:00",218,7999,29890.54,1543,5556.083,0,-634.5
"2018-07-22 15:00:00",219,6686,24071.37,1242,4472.871,0,-686.8
"2018-07-22 16:00:00",220,5102,18366.24,923,3322.267,0,-671.8
"2018-07-22 17:00:00",221,534.6,1924.44,83.4,300.0705,0,-590.3
"2018-07-22 18:00:00",222,1826,6573.938,328.8,1183.799,0,-448.1
"2018-07-22 19:00:00",223,1365,4913.511,254.7,917.0592,0,-254.5
"2018-07-22 20:00:00",224,894,3216.797,169.8,611.2532,0,-18.92
"2018-07-22 21:00:00",225,161.6,581.8655,24.67,88.82365,0.026,231.6
"2018-07-22 22:00:00",226,0.701,2.523537,0,0,0,488.4
"2018-07-22 23:00:00",227,0.337,1.214223,0,0,0,733.5
"2018-07-23 00:00:00",228,0.347,1.248865,0,0,0,949
"2018-07-23 01:00:00",229,0.346,1.245351,0,0,0,1121
"2018-07-23 02:00:00",230,0.342,1.232946,0,0,0,1237
"2018-07-23 03:00:00",231,0.299,1.07796,0,0,0,1289
"2018-07-23 04:00:00",232,0.33,1.187197,0,0,0,1274
"2018-07-23 05:00:00",233,0.309,1.111563,0,0,0,1192
"2018-07-23 06:00:00",234,0.676,2.434924,0,0,0,1050
"2018-07-23 07:00:00",235,97.6,351.5339,15.51,55.81893,0,856
"2018-07-23 08:00:00",236,1026,3694.147,193.3,695.9656,0.308,625.1
"2018-07-23 09:00:00",237,3120,11232.15,583.3,2100.023,1,372
"2018-07-23 10:00:00",238,4233,15238.05,788.4,2838.063,0.413,117
"2018-07-23 11:00:00",239,6194,22297.99,1154,4154.957,0,-131.7
"2018-07-23 12:00:00",240,4260,15336.53,795.3,2863.129,0,-349.8
"2018-07-23 13:00:00",241,5235,18846.94,981,3532.311,0,-522.2
"2018-07-23 14:00:00",242,7582,27294.41,1415,5094.041,0,-638.6
"2018-07-23 15:00:00",243,7999,34958.84,1807,6503.801,0,-691
"2018-07-23 16:00:00",244,6514,23449.76,1212,4364.195,0,-676
"2018-07-23 17:00:00",245,7123,25643.32,1328,4780.347,0,-594.5
"2018-07-23 18:00:00",246,7454,26835.41,1334,4801.779,0,-452.1
"2018-07-23 19:00:00",247,3502,12608.53,628.9,2264.032,0,-258.2
"2018-07-23 20:00:00",248,1468,5285.874,267.9,964.4609,0,-22.45
"2018-07-23 21:00:00",249,307.1,1105.612,47.67,171.6244,0.114,228.4
"2018-07-23 22:00:00",250,0.96,3.454553,0,0,0,485.6
"2018-07-23 23:00:00",251,0.384,1.382387,0,0,0,731
"2018-07-24 00:00:00",252,0.369,1.329548,0,0,0,947
"2018-07-24 01:00:00",253,0.359,1.293019,0,0,0,1119
"2018-07-24 02:00:00",254,0.35,1.261153,0,0,0,1235
"2018-07-24 03:00:00",255,0.343,1.233069,0,0,0,1287
"2018-07-24 04:00:00",256,0.339,1.219793,0,0,0,1272
"2018-07-24 05:00:00",257,0.328,1.180788,0,0,0,1190
"2018-07-24 06:00:00",258,0.8,2.878624,0,0,0,1048
"2018-07-24 07:00:00",259,146.3,526.5002,22.01,79.25346,0,854
"2018-07-24 08:00:00",260,1050,3781.481,187.5,675.0285,0.293,622.6
"2018-07-24 09:00:00",261,3031,10910.55,563.1,2027.229,1,369.2
"2018-07-24 10:00:00",262,4140,14902.31,766.8,2760.508,0.4,113.9
"2018-07-24 11:00:00",263,6433,23157.6,1195,4300.413,0,-135.4
"2018-07-24 12:00:00",264,6862,24702.44,1279,4606.01,0,-353.6
"2018-07-24 13:00:00",265,6494,23379.19,1208,4350.445,0,-526.3
"2018-07-24 14:00:00",266,7366,26518.53,1342,4830.897,0,-642.8
"2018-07-24 15:00:00",267,5558,20009.13,1039,3739.797,0,-695.3
"2018-07-24 16:00:00",268,6704,24135.04,1230,4429.61,0,-680.3
"2018-07-24 17:00:00",269,1796,6465.225,314.1,1130.749,0,-598.7
"2018-07-24 18:00:00",270,1079,3882.625,181.5,653.5484,0,-456.1
"2018-07-24 19:00:00",271,1757,6324.362,328.2,1181.648,0,-262.1
"2018-07-24 20:00:00",272,869,3129.395,159.2,573.2322,0,-26.04
"2018-07-24 21:00:00",273,77.3,278.2909,12.42,44.70701,0,225.3
"2018-07-24 22:00:00",274,0.417,1.501301,0,0,0,482.8
"2018-07-24 23:00:00",275,0.335,1.205357,0,0,0,728.5
"2018-07-25 00:00:00",276,0.343,1.234013,0,0,0,945
"2018-07-25 01:00:00",277,0.343,1.233334,0,0,0,1117
"2018-07-25 02:00:00",278,0.345,1.241864,0,0,0,1233
"2018-07-25 03:00:00",279,0.336,1.210111,0,0,0,1286
"2018-07-25 04:00:00",280,0.336,1.207938,0,0,0,1270
"2018-07-25 05:00:00",281,0.327,1.176605,0,0,0,1189
"2018-07-25 06:00:00",282,0.512,1.844846,0,0,0,1046
"2018-07-25 07:00:00",283,75.63,272.2602,14.77,53.1568,0,852
"2018-07-25 08:00:00",284,328.2,1181.466,59.77,215.1677,0,620
"2018-07-25 09:00:00",285,680.1,2448.282,144.7,520.9592,0.543,366.3
"2018-07-25 10:00:00",286,2400,8639.882,447.1,1609.661,0.388,110.8
"2018-07-25 11:00:00",287,3232,11635.49,616.5,2219.252,0,-139.1
"2018-07-25 12:00:00",288,5325,19170.11,983,3538.898,0,-357.5
"2018-07-25 13:00:00",289,4567,16439.98,830,2988.083,0,-530.5
"2018-07-25 14:00:00",290,4373,15741.3,793.2,2855.636,0,-647.2
"2018-07-25 15:00:00",291,3118,11225.11,545.2,1962.649,0,-699.8
"2018-07-25 16:00:00",292,5757,20724.2,1066,3838.143,0,-684.7
"2018-07-25 17:00:00",293,3473,12501.89,649.5,2338.233,0,-603.1
"2018-07-25 18:00:00",294,5119,18427.66,991,3568.895,0,-460.3
"2018-07-25 19:00:00",295,1739,6262.1,324.1,1166.687,0,-266
"2018-07-25 20:00:00",296,2585,9304.27,519.9,1871.79,0,-29.67
"2018-07-25 21:00:00",297,229.4,825.7386,37.04,133.338,0.062,222.1
"2018-07-25 22:00:00",298,0.627,2.257785,0.001,0.004976935,0,479.9
"2018-07-25 23:00:00",299,0.366,1.31734,0,0,0,725.9
"2018-07-26 00:00:00",300,0.354,1.273242,0,0,0,943
"2018-07-26 01:00:00",301,0.348,1.253288,0,0,0,1115
"2018-07-26 02:00:00",302,0.341,1.228741,0,0,0,1231
"2018-07-26 03:00:00",303,0.325,1.169374,0,0,0,1284
"2018-07-26 04:00:00",304,0.309,1.11294,0,9.598413E-05,0,1269
"2018-07-26 05:00:00",305,0.341,1.227004,0,0,0,1187
"2018-07-26 06:00:00",306,0.686,2.469652,0,0,0,1044
"2018-07-26 07:00:00",307,143.4,516.1625,24.92,89.72993,0,850
"2018-07-26 08:00:00",308,1145,4122.684,212.4,764.8198,0.331,617.3
"2018-07-26 09:00:00",309,3265,11754.36,653.3,2351.889,1,363.2
"2018-07-26 10:00:00",310,3464,12469.93,693.1,2495.21,0.375,107.4
"2018-07-26 11:00:00",311,4449,16017.84,895,3220.719,0,-143
"2018-07-26 12:00:00",312,7803,28089.49,1547,5569.819,0,-361.6
"2018-07-26 13:00:00",313,7999,36106.85,1959,7052.432,0,-534.7
"2018-07-26 14:00:00",314,7999,28911.8,1553,5589.968,0,-651.6
"2018-07-26 15:00:00",315,7999,39351.13,2097,7549.901,0,-704.3
"2018-07-26 16:00:00",316,7999,30900.19,1646,5925.399,0,-689.3
"2018-07-26 17:00:00",317,7999,33226.46,1741,6265.981,0,-607.5
"2018-07-26 18:00:00",318,5542,19949.96,1013,3647.499,0,-464.5
"2018-07-26 19:00:00",319,2992,10772.08,585.1,2106.454,0,-269.9
"2018-07-26 20:00:00",320,1172,4219.966,222.4,800.5126,0,-33.36
"2018-07-26 21:00:00",321,262.1,943.7026,40.13,144.4583,0.053,218.8
"2018-07-26 22:00:00",322,0.66,2.37476,0,0,0,477
"2018-07-26 23:00:00",323,0.418,1.504429,0,0,0,723.4
"2018-07-27 00:00:00",324,0.403,1.45123,0,0,0,940
"2018-07-27 01:00:00",325,0.387,1.394892,0,0,0,1113
"2018-07-27 02:00:00",326,0.363,1.307028,0,0,0,1230
"2018-07-27 03:00:00",327,0.356,1.279929,0,0,0,1282
"2018-07-27 04:00:00",328,0.362,1.303685,0,0,0,1267
"2018-07-27 05:00:00",329,0.345,1.243039,0,0,0,1185
"2018-07-27 06:00:00",330,0.692,2.491446,0,0,0,1041
"2018-07-27 07:00:00",331,229.7,826.9331,38.29,137.834,0,847
"2018-07-27 08:00:00",332,1006,3622.734,190,683.8965,0.187,614.5
"2018-07-27 09:00:00",333,2051,7382.772,389.8,1403.34,1,360.1
"2018-07-27 10:00:00",334,1643,5915.36,290.7,1046.552,0.361,103.9
"2018-07-27 11:00:00",335,3077,11077.58,551,1983.568,0,-146.9
"2018-07-27 12:00:00",336,1846,6645.558,321.3,1156.571,0,-365.8
"2018-07-27 13:00:00",337,2470,8893.687,455.3,1639.195,0,-539.2
"2018-07-27 14:00:00",338,1710,6155.599,299.8,1079.166,0,-656.2
"2018-07-27 15:00:00",339,5690,20483.64,1075,3871.605,0,-708.9
"2018-07-27 16:00:00",340,7999,30008.73,1592,5731.766,0,-693.9
